
## prometheus-3.13.1-3.13.2: old=135,857,317 new=135,899,968 differing=117,314,116 (86.35%) runs=7,094,198 (gap<=8: 95,930) median run=3 B largest unchanged=334,055 unchanged>=64K 0.6% >=256K 0.2% >=1M 0.0%  [1.6s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
| .rodata | 3,527,449 | 3,527,641 | 1,754,672 | 49.74% | 336,835 | 12,243 |
| .gopclntab | 10,542,147 | 10,543,671 | 8,129,185 | 77.11% | 1,183,602 | 6,958 |
| .rela | 24 | 24 | 0 | 0.00% | 0 | 0 |
| .rela.plt | 1,056 | 1,056 | 0 | 0.00% | 0 | 0 |
| .dynstr | 714 | 714 | 0 | 0.00% | 0 | 0 |
| .dynsym | 1,176 | 1,176 | 0 | 0.00% | 0 | 0 |
| .typelink | 38,272 | 38,272 | 12,222 | 31.93% | 9,568 | 1 |
| .itablink | 16,600 | 16,600 | 3,378 | 20.35% | 2,075 | 1 |
| .go.buildinfo | 4,128 | 4,128 | 0 | 0.00% | 0 | 0 |
| .go.fipsinfo | 120 | 120 | 41 | 34.17% | 7 | 2 |
| .noptrdata | 454,273 | 454,273 | 551 | 0.12% | 273 | 161 |
| .data | 178,258 | 178,290 | 29,767 | 16.70% | 13,765 | 4,226 |
