### Patch size (bytes) per pair and method

| pair | NEW size | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19 | full-zstd-19-T0 |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| F2.v4-v5 | xdelta3-9-lzma | 2,723,865 | 2.81 | 316 | 0.11 | 52 | 3 | True |
| F2.v4-v5 | full-zstd-19 | 8,433,714 | 7.68 | 121 | 0.03 | 12 | 3 | True |
| F2.v4-v5 | full-zstd-19-T0 | 8,433,714 | 6.46 | 121 | 0.03 | 12 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | bsdiff | 2,060,250 | 49.64 | 760 | 0.44 | 175 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | hdiffz-m6 | 2,366,695 | 15.21 | 373 | 0.09 | 23 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | hdiffz-m6-p8 | 2,367,788 | 7.00 | 378 | 0.08 | 23 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | hdiffz-s64 | 10,388,211 | 13.32 | 218 | 0.11 | 27 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | zstd-19 | 7,078,385 | 29.50 | 410 | 0.13 | 173 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | zstd-19-T0 | 7,078,385 | 28.55 | 409 | 0.11 | 172 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | xdelta3-9-lzma | 10,044,293 | 9.64 | 757 | 0.38 | 117 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | full-zstd-19 | 19,072,059 | 11.29 | 349 | 0.07 | 13 | 3 | True |
| kube-apiserver-1.36.3-1.36.4 | full-zstd-19-T0 | 19,072,059 | 10.99 | 349 | 0.07 | 12 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | bsdiff | 2,714,204 | 54.49 | 839 | 0.51 | 195 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | hdiffz-m6 | 2,732,978 | 15.50 | 392 | 0.10 | 26 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | hdiffz-m6-p8 | 2,730,887 | 7.49 | 398 | 0.06 | 26 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | hdiffz-s64 | 11,390,472 | 15.48 | 217 | 0.11 | 27 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | zstd-19 | 8,279,163 | 29.93 | 428 | 0.14 | 190 | 3 | True |
